,Date,Temp
525,1982-06-10,4.5
978,1983-09-06,10.4
420,1982-02-25,12.5
2484,1987-10-22,9.2
2018,1986-07-13,4.4
329,1981-11-26,9.9
2593,1988-02-08,12.5
828,1983-04-09,9.1
2650,1988-04-05,15.9
2669,1988-04-24,13.3
2582,1988-01-28,17.3
2727,1988-06-21,7.3
806,1983-03-18,15.2
226,1981-08-15,8.6
1160,1984-03-06,19.5
2025,1986-07-20,9.7
3248,1989-11-25,14.4
1399,1984-10-31,12.6
1885,1986-03-02,13.9
1520,1985-03-02,15.5
2883,1988-11-24,13.7
3509,1990-08-13,7.8
1457,1984-12-28,12.6
957,1983-08-16,14.3
94,1981-04-05,18.1
2578,1988-01-24,12.3
2738,1988-07-02,5.8
882,1983-06-02,10.8
693,1982-11-25,15.8
994,1983-09-22,8.5
2781,1988-08-14,11.6
1278,1984-07-02,2.6
2501,1987-11-08,12.6
3628,1990-12-10,11.0
618,1982-09-11,8.5
3033,1989-04-24,8.3
2583,1988-01-29,21.4
3562,1990-10-05,14.0
188,1981-07-08,8.3
842,1983-04-23,16.5
589,1982-08-13,9.0
290,1981-10-18,7.3
1978,1986-06-03,5.2
1661,1985-07-21,7.0
3268,1989-12-15,12.2
3512,1990-08-16,7.8
942,1983-08-01,7.7
3105,1989-07-05,5.3
668,1982-10-31,7.0
2837,1988-10-09,8.7
681,1982-11-13,11.1
84,1981-03-26,13.4
802,1983-03-14,15.2
1645,1985-07-05,4.2
1102,1984-01-08,13.0
1762,1985-10-30,11.4
3043,1989-05-04,14.4
3058,1989-05-19,11.6
1633,1985-06-23,0.6
141,1981-05-22,5.4
2226,1987-02-06,13.3
1021,1983-10-19,12.2
1388,1984-10-20,9.9
3144,1989-08-13,5.8
3619,1990-12-01,13.3
1543,1985-03-25,13.3
2708,1988-06-02,11.0
1647,1985-07-07,5.6
545,1982-06-30,9.0
1946,1986-05-02,9.1
2896,1988-12-07,12.4
99,1981-04-10,13.0
284,1981-10-12,5.6
1993,1986-06-18,7.6
95,1981-04-06,16.6
790,1983-03-02,22.0
1914,1986-03-31,15.6
988,1983-09-16,5.0
1475,1985-01-16,15.9
3046,1989-05-07,10.8
651,1982-10-14,10.4
1733,1985-10-01,10.5
2165,1986-12-07,20.2
273,1981-10-01,8.9
567,1982-07-22,0.9
363,1981-12-30,15.2
1960,1986-05-16,11.5
2975,1989-02-25,17.7
1497,1985-02-07,14.8
3305,1990-01-21,13.3
1522,1985-03-04,12.7
1786,1985-11-23,8.8
1305,1984-07-29,7.0
3010,1989-04-01,13.3
340,1981-12-07,14.7
1206,1984-04-21,10.2
2491,1987-10-29,11.4
518,1982-06-03,3.1
443,1982-03-20,14.0
2689,1988-05-14,13.1
238,1981-08-27,6.0
373,1982-01-09,16.2
1692,1985-08-21,3.6
2535,1987-12-12,13.9
1612,1985-06-02,5.5
434,1982-03-11,10.0
1156,1984-03-02,8.8
3603,1990-11-15,13.2
10,1981-01-11,16.2
1689,1985-08-18,8.6
2594,1988-02-09,15.1
816,1983-03-28,10.7
200,1981-07-20,10.1
3329,1990-02-14,14.1
3020,1989-04-11,15.3
3119,1989-07-19,5.8
1892,1986-03-09,12.7
281,1981-10-09,12.9
1087,1983-12-24,13.8
3280,1989-12-27,13.3
1020,1983-10-18,10.0
